bookID,title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher
41665,Exile,Blake Nelson/Francine Kass,3.15,en-US,288,159,1997-06-11,Scribner
28511,Warrior Angel,Margaret Weis/Lizz Weis,3.15,en-US,354,242,2007-02-27,Avon
41551,The Stones of Summer,Dow Mossman,3.15,eng,586,421,2004-02-24,Overlook Press
36137,Bad Dreams,Kim Newman,3.16,en-US,280,151,1995-04-25,Running Press
3710,The Autograph Man,Zadie Smith,3.16,eng,347,9541,2003-06-17,Vintage
8761,The Weekenders: Travels in the Heart of Africa,W.F. Deedes/Sue Ryan/Alex Garland/Tony Hawks/Andrew O'Hagan/Irvine Welsh/Giles Foden/Victoria Glendinning,3.16,eng,340,123,2001-11-08,Ebury Press
16199,Citas Celestiales,Alexander McCall Smith/Marta Torent López de Lamadrid,3.16,spa,190,1,2006-11-01,Umbriel
14312,El cazador de autógrafos,Zadie Smith,3.16,spa,379,11,2003-12-30,Salamandra
14310,The Autograph Man,Zadie Smith,3.16,eng,420,535,2003-05-22,Penguin Books Ltd
45054,The Zen Gardening Kit/Book and Japanese Rock Garden,Daniel Abdal-Hayy Moore,3.16,eng,96,29,1992-11-23,Running Press Book Publishers
45052,The Mini Zen Gardening Kit,Daniel Abdal-Hayy Moore,3.16,eng,40,14,2000-09-04,RP Minis
3343,Boogaloo on 2nd Avenue,Mark Kurlansky,3.17,eng,319,191,2006-02-28,Random House Trade
25457,The Little Baby Snoogle-Fleejer,Jimmy Carter/Amy Carter,3.17,eng,24,42,1995-11-21,Crown
11657,Terrorist,John Updike,3.17,eng,320,3490,2006-06-06,Knopf
12022,A Song Of Stone,Iain Banks,3.17,eng,280,78,2009-01-01,Little Brown
8971,Freaks of the Storm: From Flying Cows to Stealing Thunder: The World's Strangest True Weather Stories,Randy Cerveny,3.17,eng,371,139,2006-12-29,Thunder's Mouth Press Books
3651,When the World Was Steady,Claire Messud,3.17,eng,270,481,1995-09-01,Granta
40664,In the Hand of Dante,Nick Tosches,3.18,en-US,384,683,2003-09-01,Back Bay Books
25150,Pledged: The Secret Life of Sororities,Alexandra Robbins,3.18,en-US,384,245,2004-04-14,Hyperion
12922,The Castle of Otranto,Horace Walpole/E.F. Bleiler/Walter Scott,3.18,eng,106,237,2004-03-19,Dover Publications
12923,The Castle of Otranto,Horace Walpole,3.18,eng,125,16370,1998-07-16,Oxford University Press
24775,The Butterfly Tattoo,Philip Pullman,3.19,eng,186,1048,2005-09-02,Young Picador
15004,First Love: A Gothic Tale,Joyce Carol Oates/Barry Moser/Erhan Sunar,3.19,eng,86,579,1997-08-21,Ecco
31105,This Christmas,Jane Green/Jennifer Coburn/Liz Ireland,3.19,eng,480,1153,2009-10-01,Zebra
21783,Tinsel,William Goldman,3.19,eng,399,258,1980-06-15,Dell
44478,Architecture and Tourism: Perception  Performance and Place,D. Medina Lasansky,3.2,eng,320,5,2004-09-04,Bloomsbury Academic
20127,Persuasive Writing: Mini-Lessons  Strategies  Activities,Tara MacCarthy/Drew Hires,3.2,eng,64,5,1998-08-01,Scholastic
44816,Serious Girls,Maxine Swann,3.2,eng,240,207,2004-12-01,Picador USA
6057,The Long Road Back: A Survivor's Guide to Anorexia,Judy Tam Sargent/Sonia Nordenson,3.2,en-GB,194,30,1998-10-01,North Star Publications (MA)
15023,Conversation: A History of a Declining Art,Stephen Miller,3.2,eng,368,95,2006-03-11,Yale University Press
10914,Songs of the Humpback Whale,Jodi Picoult,3.2,eng,346,27590,2001-10-01,Washington Square Press
21280,Ultimate Annuals  Volume 2,Charlie Huston/Mike Carey/Brian Michael Bendis/Robert Kirkman/Mike Deodato/Ryan Sook/Stuart Immonen/Frazier Irving,3.21,eng,160,105,2007-02-07,Marvel
33904,Swimming Upstream: Collaborative Approaches to Watershed Management,Paul A. Sabatier/Will Focht/Mark Lubell/Zev Trachtenberg/Arnold Vedlitz/Marty Matlock,3.21,eng,344,13,2005-04-29,The MIT Press
29460,Sociology in Our Times,Diana Kendall,3.21,eng,742,1,2006-01-01,Wadsworth Publishing Company
24828,The Rosetta Codex,Richard Paul Russo,3.21,en-US,384,22,2005-12-06,Ace Trade
44737,The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User,Robert W. Harris,3.21,en-US,177,14,2007-05-01,Houghton Mifflin Harcourt
16987,Superman: Back in Action,Kurt Busiek/Fabian Nicieiza/Len Wein/Gerry Conway/Pete Woods/José Luis García-López,3.21,en-US,144,140,2007-01-31,DC Comics
28700,Falling Man,Don DeLillo,3.21,eng,246,10304,2007-05-15,Scribner
40152,Only Revolutions,Mark Z. Danielewski,3.21,eng,360,4791,2006-09-12,Pantheon Books
38609,Don't Wait for Your Ship to Come In... Swim Out to Meet It!: Bite-Sized Inspirations to Help You Achieve Your Dreams,John Mason,3.22,eng,160,9,1994-12-01,Honor Books
43594,The Campfire Collection: Spine-tingling Tales to Tell in the Dark,Eric B. Martin/George R. Stewart/Peter Matthiessen/Robert W. Service/Judith M. Brueske/Anthony Boucher/Tobias Wolff/John Long/Frank Norris/Beryl Bainbridge/Greg Child/Marc Reisner/Haruki Murakami/Jack London/Edgar Allan Poe/Paul Bowles/Larry Kanuit,3.22,en-US,176,50,2000-03-01,Chronicle Books
10403,Doctor Who: Cat's Cradle-Time's Crucible,Marc Platt,3.22,eng,275,589,1992-02-20,Virgin Publishing
5777,Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,3.22,eng,272,3,2004-10-05,St. Martin's Minotaur
4418,The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,Harrison Edward Livingstone,3.22,en-US,615,9,2004-10-06,Trafford Publishing
41394,The Serial Killers Club,Jeff Povey,3.22,eng,279,109,2006-06-22,Warner Books (NY)
10404,Doctor Who: Cat's Cradle-Witch Mark,Andrew    Hunt,3.22,eng,256,399,1992-06-18,Virgin Publishing
406,Cosmopolis,Don DeLillo,3.22,eng,224,460,2004-04-06,Scribner
41273,Fine Lines (One-Eyed Mack  #6),Jim Lehrer,3.23,eng,0,17,1995-11-19,Random House Value Publishing
30574,Plato in 90 Minutes,Paul Strathern,3.23,eng,89,515,1996-09-01,Ivan R. Dee Publisher
38830,Stranger from the Past,Penny Jordan,3.23,eng,224,29,1993-09-24,Harlequin Presents
11777,Black Girl/White Girl,Joyce Carol Oates,3.23,eng,288,2662,2006-10-17,Ecco
44217,D.B.,Elwood Reid,3.23,eng,356,53,2005-07-12,Anchor Books
454,Travels in the Scriptorium,Paul Auster,3.23,eng,145,6688,2007-01-23,Henry Holt & Company
37434,Dale Loves Sophie to Death,Robb Forman Dew,3.23,en-US,256,244,2001-09-19,Back Bay Books
18431,The Rule of Four,Ian Caldwell/Dustin Thomason,3.23,eng,450,25111,2005-06-28,Dell Publishing Company
11767,The Body Artist,Don DeLillo,3.24,eng,128,7201,2002-02-05,Scribner
33615,Fourth of July Mice!,Bethany Roberts/Doug Cushman,3.24,en-US,32,126,2004-05-24,Clarion Books
9427,The Story of Chicago May,Nuala O'Faolain,3.24,en-US,307,344,2005-10-01,Riverhead Books
19462,The Perfect Score (It's All About Attitude #5),Julie Kenner,3.24,eng,240,110,2006-07-25,Harlequin
4660,The 158-Pound Marriage,John Irving,3.24,en-US,176,11346,1997-06-23,Ballantine Books
13138,Season of the Machete,James Patterson,3.25,eng,341,5512,1995-04-01,Vision
27813,Numerical Recipes Example Book C++: The Art of Scientific Computing,William T. Vetterling/William H. Press/Saul A. Teukolsky,3.25,eng,330,4,2002-02-07,Cambridge University Press
33871,Quintessential Tarantino,Edwin Page,3.25,eng,352,50,2005-10-01,Marion Boyars Publishers Ltd
23503,The Alchemist's Daughter,Katharine McMahon,3.25,eng,346,3565,2006-10-24,Broadway Books
2893,Love Artist (Harlequin Romance #2860),Valerie Parv,3.25,eng,187,3,1987-07-24,Harlequin Romance
42180,iMovie 4 & iDVD: The Missing Manual: The Missing Manual,David Pogue,3.25,eng,496,4,2004-08-23,Pogue Press
10083,On the Trail of Mary  Queen of Scots,J. Keith Cheetham,3.25,eng,192,12,1999-06-01,Luath Press Ltd
5853,Half a Life,V.S. Naipaul,3.25,eng,224,3078,2009-04-23,Vintage International
9558,Back to Wando Passo,David     Payne,3.25,en-US,448,202,2006-05-23,William Morrow
16074,A Dubious Codicil,Michael Wharton,3.25,eng,224,3,1991-03-15,Random House UK Distribution
